lat,lon,color
35.18597,-84.48414,red
35.186,-93.206,red
35.18637,-78.63611,orange
35.1918,-86.9094,orange
35.194,-81.402,red
35.20416,-87.19556,red
35.211,-83.007,red
35.21111,-97.24139,orange
35.22149,-87.39061,red
35.2256,-80.26915,orange
35.226,-89.94,green
35.23036,-85.75014,green
35.241,-111.8634,blue
35.24194,-97.5625,red
35.24749,-79.97967,red
35.2483,-83.28265,orange
35.25048,-79.86721,green
35.255,-91.50301,orange
35.2597,-84.28315,red
35.2673,-118.9591,blue
35.26808,-96.60222,orange
35.27056,-95.97,red
35.2725,-82.65414,green
35.27639,-97.33528,blue
35.27833,-93.13361,red
35.28195,-82.39165,orange
35.2933,-95.94727,red
35.3,-111.675,red
35.3011,-99.1702,orange
35.30146,-85.07263,orange
35.30685,-111.7141,red
35.30773,-79.75644,red
35.31331,-80.00272,red
35.31924,-80.03551,blue
35.3218,-87.2932,orange
35.325,-95.0585,red
35.33069,-111.7101,red
35.33389,-98.13028,red
35.33783,-83.52992,blue
35.33975,-82.443,green
35.34572,-93.75313,red
35.34737,-91.60007,blue
35.3538,-84.0458,green
35.35636,-80.01653,orange
35.36,-82.4831,blue
35.36335,-94.229,orange
35.36895,-95.97023,red
35.37201,-108.2034,blue
35.40472,-84.05056,red
35.416,-89.7735,red
35.41939,-82.56715,red
35.42014,-97.21555,red
35.42097,-93.15208,orange
35.42525,-77.67995,orange
35.43787,-80.69763,orange
35.4449,-80.0616,red
35.44944,-91.51306,red
35.44986,-118.5821,red
35.451,-82.287,green
35.46865,-83.3626,green
35.46955,-80.08778,orange
35.4745,-83.3032,orange
35.50285,-94.77699,orange
35.5035,-89.91499,orange
35.50556,-98.575,orange
35.51222,-118.3356,orange
35.5131,-83.5582,red
35.52162,-105.2526,orange
35.52335,-89.35205,green
35.5311,-78.4048,red
35.53467,-83.17152,green
35.53467,-83.17152,green
35.537,-89.63499,blue
35.53925,-97.67827,green
35.545,-85.0667,blue
35.545,-87.8084,red
35.5467,-85.02585,green
35.55535,-93.1716,orange
35.5559,-84.0475,blue
35.5565,-121.2919,green
35.5605,-83.5214,blue
35.56577,-79.75537,red
35.56637,-94.98001,green
35.56805,-118.6078,orange
35.5803,-118.3804,red
35.58565,-107.9978,orange
35.618,-82.321,orange
35.6267,-81.5917,blue
